Name,Product_Number,Keywords,Lead_In,Description,External_Link,Quantity,StockDate,Shipping_group,Weight,BoxType,Duration,IsHotDeal,Discontinued,Tax_Amount,IncludesVAT,Price,ListPrice,DealerPrice,Show_Product,Show_Price
MRA OriginalScreen for Aprilia AF1 50/125 Sint. -'88,MRA.21.001.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Overall length: ? inches (? mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA OriginalScreen for Aprilia AF1 50/125 Rep. '89-'90,MRA.21.002.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: ? inches (? mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA OriginalScreen for Aprilia AF1 50/125 Futura '91-'92,MRA.21.003.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: ? inches (? mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA OriginalScreen for Aprilia RS50 Extrema '94-'97,MRA.21.004.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 12.6 inches (320 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA OriginalScreen for Aprilia RS125 Extrema '92-'94,MRA.21.005.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 12.6 inches (320 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA OriginalScreen for Aprilia RS125 '95-'98,MRA.21.006.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 12.6 inches (320 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RS125 '95-'98,MRA.21.006.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors.", Overall length: 12.2 inches (310 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RS125 '95-'98,MRA.21.006.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.",Available in clear or smoke gray only.  Overall length: 14.6 inches (370 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RS125 '95-'98,MRA.21.006.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Overall length: 13.4 inches (340 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RS50 / RS125 '99-,MRA.21.007.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 15 inches (380 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RS50 / RS125 '99-,MRA.21.007.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Overall length: 15.4 inches (390 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RS250 '95-'97,MRA.21.008.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 12.6 inches (320 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RS250 '95-'97,MRA.21.008.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors.", Overall length: 12.2 inches (310 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RS250 '95-'97,MRA.21.008.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.",Available in clear or smoke gray only.  Overall length: 14.6 inches (370 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RS250 '95-'97,MRA.21.008.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Overall length: 13.4 inches (340 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RS250 '98-,MRA.21.009.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 15 inches (380 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RS250 '98-,MRA.21.009.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Overall length: 15.4 inches (390 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia Pegaso 650 -'96,MRA.21.010.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 10.6 inches (270 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia Pegaso 650 -'96,MRA.21.010.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors.", Overall length: 11 inches (280 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia Pegaso 650 -'96,MRA.21.010.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.",Available in clear or smoke gray only.  Overall length: 14.2 inches (360 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA OriginalScreen for Aprilia Pegaso 650 97'-,MRA.21.011.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!", Overall length: 10.6 inches (270 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia Pegaso 650 97'-,MRA.21.011.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors.", Overall length: 12.6 inches (320 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia Pegaso 650 97'-,MRA.21.011.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.",Available in clear or smoke gray only.  Overall length: 16.1 inches (410 mm).,www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 13.4 inches (340 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 14.2 inches (360 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.","Available in clear or smoke gray only.  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.5 inches (420 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 15 inches (380 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 13.8 inches (350 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 14.2 inches (360 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.","Available in clear or smoke gray only.  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.5 inches (420 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 15 inches (380 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Mille 04'-,MRA.21.014.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.9 inches (430 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Mille 04'-,MRA.21.014.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.3 inches (415 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RSV1000R Mille 04'-,MRA.21.014.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 17.3 inches (440 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Tuono,MRA.21.015.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 12 inches (305 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Tuono,MRA.21.015.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 11.2 inches (285 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RSV1000R Tuono,MRA.21.015.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.","Available in clear or smoke gray only.  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 14.6 inches (370 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
